S02_PM01,S02_PM25,S02_PM10,S03_PM01,S03_PM25,S03_PM10,S04_PM01,S04_PM25,S04_PM10,S05_PM01,S05_PM25,S05_PM10,S08_PM01,S08_PM25,S08_PM10,S09_PM01,S09_PM25,S09_PM10,S10_PM01,S10_PM25,S10_PM10,S11_PM01,S11_PM25,S11_PM10,S14_PM1,S14_PM2.5,S14_PM10,S15_M1,S15_PM25,S15_PM10,S17_PM01,S17_PM25,S17_PM10,S18_PM01,S18_PM25,S18_PM10,S19_PM01,S19_PM25,S19_PM10,S20_PM01,S20_PM25,S20_PM10
7,12,13,8,13,13,8,14,15,4,10,11,9,15,16,14,23,25,10,14,14,0,0,0,7,10,10,4,7,9,8,11,13,6,13,14,7,11,13,7,12,13
7,12,13,8,13,13,7,14,14,4,10,11,9,15,16,14,23,26,9,13,14,0,0,0,7,10,10,4,7,9,8,12,14,6,13,15,7,11,13,7,12,13
7,13,13,8,13,13,7,14,14,4,9,10,9,15,16,14,24,27,9,13,14,0,0,0,6,9,9,4,7,8,8,12,14,6,13,15,7,11,13,7,12,13
7,13,13,8,13,13,7,14,14,4,9,10,9,16,17,12,23,24,9,13,14,0,0,0,6,9,9,4,7,8,8,12,14,6,13,15,7,12,13,7,12,13
7,13,13,8,13,13,7,13,14,4,9,10,9,16,17,12,24,25,9,13,14,0,0,0,6,9,9,5,8,9,9,14,14,5,13,14,7,12,13,8,13,14
7,12,13,7,11,12,7,13,14,4,8,10,9,16,17,13,26,27,9,13,14,0,0,0,6,9,9,5,6,8,9,14,14,5,13,14,7,12,13,8,13,14
7,12,13,7,11,12,7,13,14,4,8,10,9,16,17,13,25,26,10,14,15,0,0,0,6,9,9,5,6,8,9,14,14,5,13,14,7,12,13,7,12,13
7,12,13,7,11,12,7,13,13,3,7,9,9,16,17,13,27,28,10,15,16,0,0,0,6,9,9,4,5,7,10,14,15,6,14,15,7,12,13,6,11,13
8,14,14,7,12,12,7,13,13,3,7,7,9,16,17,5,8,8,10,15,16,0,0,0,6,9,9,4,6,8,10,14,15,6,14,15,7,12,13,6,11,13
8,14,14,7,12,12,7,13,13,3,7,7,9,15,16,6,7,7,9,14,15,0,0,0,7,10,10,4,6,8,10,14,15,6,14,15,6,11,11,7,12,14
8,14,14,7,12,12,6,11,11,3,7,7,9,15,16,2,2,2,9,14,16,0,0,0,7,10,10,4,6,8,10,15,16,7,15,15,6,11,11,8,13,14
9,15,15,6,11,11,6,11,11,3,7,8,9,15,16,3,5,5,9,14,16,0,0,0,7,10,10,4,7,9,10,15,16,7,15,15,6,11,11,8,13,14
8,14,14,6,11,11,6,11,11,3,7,8,9,15,17,4,8,8,9,14,16,0,0,0,6,9,9,4,7,9,10,15,16,7,15,15,7,12,12,8,13,14
8,14,14,6,11,11,6,11,11,3,7,8,9,15,17,5,8,8,9,14,14,0,0,0,6,9,9,4,7,9,11,15,16,7,15,15,7,12,12,8,13,14
8,15,15,7,11,11,7,12,12,4,7,7,9,15,17,5,9,9,9,14,14,0,0,0,6,9,9,4,6,6,10,14,15,6,14,14,7,12,12,8,13,14
8,15,15,8,12,12,7,12,12,4,7,7,9,15,17,2,2,2,9,14,14,0,0,0,6,8,8,4,6,6,10,14,15,6,14,14,7,12,12,8,13,14
8,15,15,8,12,12,7,11,11,4,7,7,9,15,17,3,4,4,9,15,16,0,0,0,7,9,9,4,6,6,9,14,15,6,14,15,7,12,12,8,13,14
8,15,16,8,12,14,7,11,11,3,6,7,9,15,17,4,4,4,9,15,16,0,0,0,7,9,9,4,6,6,10,15,16,7,15,16,7,12,12,8,13,14
8,15,16,8,12,14,7,11,11,3,6,7,9,15,17,4,4,4,9,15,16,0,0,0,6,9,9,4,6,6,10,15,16,7,15,16,8,13,13,8,13,14
8,15,16,8,12,14,7,11,11,3,6,7,9,15,17,4,5,5,8,14,15,0,0,0,5,8,8,4,6,6,10,15,16,6,14,15,8,13,13,7,13,14
8,14,14,8,12,14,7,11,11,3,6,7,9,15,17,4,5,5,8,14,15,0,0,0,5,8,8,4,7,7,10,15,16,6,14,15,8,13,13,7,13,14
8,14,14,8,12,14,6,10,10,3,6,7,9,15,17,4,5,5,8,14,15,0,0,0,5,8,8,5,8,8,9,14,15,6,14,15,8,12,12,7,13,14
9,15,15,7,11,13,6,10,10,3,6,7,9,15,17,4,5,5,9,16,17,0,0,0,5,8,8,5,8,8,10,16,17,6,13,14,8,12,12,7,14,15
9,14,14,7,11,14,6,10,10,3,6,6,9,15,17,4,6,6,9,16,17,0,0,0,6,9,9,5,7,7,10,16,17,6,13,14,8,12,12,7,14,15
9,14,14,7,11,14,7,11,11,4,7,7,9,16,17,4,6,6,9,16,17,0,0,0,6,10,10,5,7,7,11,17,18,5,12,13,8,11,11,7,14,15
9,14,14,8,12,15,7,11,11,4,7,7,9,16,17,5,6,6,9,15,16,0,0,0,6,10,10,5,7,7,11,17,18,6,12,13,8,11,11,7,13,14
9,15,15,9,13,16,7,11,11,5,8,8,9,16,17,5,7,7,9,15,16,0,0,0,6,10,10,5,7,7,11,18,19,6,12,13,8,11,11,7,12,13
9,15,15,9,13,16,7,11,11,5,8,8,8,15,18,5,7,8,9,15,16,0,0,0,6,9,9,5,7,7,10,16,17,6,12,13,7,10,10,7,13,13
9,15,15,9,13,16,7,11,11,5,8,8,8,15,18,6,7,8,8,15,16,0,0,0,6,9,9,5,7,7,10,15,17,6,12,13,7,10,10,8,13,14
8,15,16,8,12,15,7,11,11,5,7,7,8,15,18,6,7,8,8,15,16,0,0,0,6,9,9,4,7,7,9,15,16,6,12,13,7,10,10,7,13,13
8,15,16,8,12,15,7,11,11,5,7,7,8,16,18,6,7,9,8,15,16,0,0,0,6,9,9,4,7,7,10,15,16,6,12,13,8,11,11,7,13,13
8,15,16,8,12,15,7,11,11,5,7,7,8,16,18,6,8,9,8,15,16,0,0,0,6,9,9,3,6,6,10,16,17,7,12,13,8,11,11,7,14,15
9,16,17,8,12,15,7,11,11,4,7,7,8,16,18,7,9,10,8,15,16,0,0,0,6,9,9,3,6,6,10,16,17,7,12,13,8,11,11,7,14,15
9,16,17,8,12,15,7,11,11,4,7,7,8,16,18,7,9,11,7,14,15,0,0,0,6,10,10,3,6,6,10,17,17,7,12,13,7,10,10,8,16,16
9,16,17,8,12,15,6,10,10,3,6,6,8,16,18,7,9,11,7,14,15,0,0,0,6,10,10,3,6,6,9,15,15,7,12,13,7,10,10,8,16,17
